Timestep	mean reward (100 episodes)	best mean reward	episodes	exploration	learning_rate
1720000	-19.58	-18.09	1528	0.0838	9.1e-05
1730000	-19.57	-18.09	1537	0.08357500000000001	9.0875e-05
1740000	-19.71	-18.09	1549	0.08335000000000001	9.075000000000001e-05
1750000	-19.88	-18.09	1560	0.083125	9.062500000000001e-05
1760000	-19.74	-18.09	1570	0.0829	9.05e-05
1770000	-19.48	-18.09	1579	0.082675	9.0375e-05
1780000	-19.45	-18.09	1589	0.08245	9.025e-05
1790000	-19.39	-18.09	1598	0.082225	9.012500000000001e-05
1800000	-19.35	-18.09	1609	0.082	9e-05
1810000	-19.28	-18.09	1617	0.081775	8.9875e-05
1820000	-19.13	-18.09	1627	0.08155000000000001	8.975e-05
1830000	-19.22	-18.09	1638	0.08132500000000001	8.962500000000001e-05
1840000	-19.16	-18.09	1649	0.0811	8.950000000000001e-05
1850000	-19.08	-18.09	1659	0.080875	8.9375e-05
1860000	-19.1	-18.09	1669	0.08065	8.925e-05
1870000	-19.11	-18.09	1678	0.080425	8.912500000000001e-05
1880000	-19.18	-18.09	1689	0.08020000000000001	8.900000000000001e-05
1890000	-19.27	-18.09	1700	0.079975	8.8875e-05
1900000	-19.3	-18.09	1710	0.07975	8.875e-05
1910000	-19.36	-18.09	1721	0.079525	8.8625e-05
1920000	-19.31	-18.09	1728	0.07930000000000001	8.850000000000001e-05
1930000	-18.88	-18.09	1736	0.079075	8.837500000000001e-05
1940000	-18.68	-18.09	1744	0.07885	8.825e-05
1950000	-18.61	-18.09	1753	0.078625	8.8125e-05
1960000	-18.24	-18.09	1761	0.0784	8.8e-05
1970000	-18.33	-18.09	1772	0.07817500000000001	8.787500000000001e-05
1980000	-17.98	-17.97	1778	0.07795	8.775e-05
1990000	-18.02	-17.97	1789	0.077725	8.7625e-05
2000000	-17.96	-17.94	1800	0.0775	8.75e-05
2010000	-17.78	-17.76	1809	0.07727500000000001	8.737500000000001e-05
2020000	-17.87	-17.76	1818	0.07705000000000001	8.725e-05
2030000	-17.84	-17.57	1828	0.076825	8.7125e-05
2040000	-17.84	-17.57	1835	0.0766	8.7e-05
2050000	-17.81	-17.57	1843	0.076375	8.687500000000001e-05
2060000	-17.85	-17.57	1852	0.07615	8.675000000000001e-05
2070000	-17.9	-17.57	1861	0.075925	8.6625e-05
2080000	-17.78	-17.57	1871	0.0757	8.65e-05
2090000	-18.08	-17.57	1881	0.075475	8.6375e-05
2100000	-18.11	-17.57	1892	0.07525	8.625000000000001e-05
2110000	-18.04	-17.57	1902	0.07502500000000001	8.6125e-05
2120000	-18.03	-17.57	1911	0.0748	8.6e-05
2130000	-18.36	-17.57	1923	0.074575	8.5875e-05
2140000	-18.73	-17.57	1935	0.07435	8.575000000000001e-05
2150000	-18.95	-17.57	1946	0.074125	8.562500000000001e-05
2160000	-19.28	-17.57	1957	0.07390000000000001	8.55e-05
2170000	-19.32	-17.57	1967	0.073675	8.5375e-05
2180000	-19.15	-17.57	1975	0.07345	8.525000000000001e-05
2190000	-19.07	-17.57	1985	0.073225	8.512500000000001e-05
2200000	-18.75	-17.57	1992	0.07300000000000001	8.5e-05
2210000	-18.95	-17.57	2005	0.072775	8.4875e-05
2220000	-19.22	-17.57	2015	0.07255	8.475e-05
2230000	-19.13	-17.57	2028	0.072325	8.462500000000001e-05
2240000	-19.23	-17.57	2041	0.0721	8.450000000000001e-05
2250000	-19.35	-17.57	2053	0.071875	8.4375e-05
2260000	-19.08	-17.57	2061	0.07165	8.425e-05
2270000	-18.91	-17.57	2068	0.071425	8.4125e-05
2280000	-19.16	-17.57	2079	0.0712	8.400000000000001e-05
2290000	-19.33	-17.57	2090	0.070975	8.3875e-05
2300000	-19.25	-17.57	2099	0.07075000000000001	8.375e-05
2310000	-18.91	-17.57	2108	0.070525	8.3625e-05
2320000	-18.75	-17.57	2116	0.0703	8.35e-05
2330000	-18.44	-17.57	2125	0.070075	8.337500000000001e-05
2340000	-18.06	-17.57	2133	0.06985	8.325e-05
2350000	-17.77	-17.57	2142	0.06962499999999999	8.3125e-05
2360000	-17.55	-17.54	2151	0.0694	8.3e-05
2370000	-17.71	-17.45	2162	0.069175	8.2875e-05
2380000	-17.98	-17.45	2172	0.06895000000000001	8.275e-05
2390000	-18.05	-17.45	2183	0.06872500000000001	8.2625e-05
2400000	-18.03	-17.45	2193	0.0685	8.25e-05
2410000	-18.48	-17.45	2206	0.068275	8.237500000000001e-05
2420000	-18.68	-17.45	2217	0.06805	8.225000000000001e-05
2430000	-19.02	-17.45	2229	0.067825	8.2125e-05
2440000	-19.56	-17.45	2242	0.0676	8.2e-05
2450000	-19.71	-17.45	2253	0.067375	8.1875e-05
2460000	-19.9	-17.45	2266	0.06715	8.175000000000001e-05
2470000	-20.13	-17.45	2279	0.06692500000000001	8.1625e-05
2480000	-20.46	-17.45	2290	0.06670000000000001	8.15e-05
2490000	-20.25	-17.45	2302	0.066475	8.1375e-05
2500000	-20.41	-17.45	2315	0.06625	8.125e-05
2510000	-20.55	-17.45	2328	0.066025	8.112500000000001e-05
2520000	-20.55	-17.45	2341	0.0658	8.1e-05
2530000	-20.73	-17.45	2354	0.065575	8.0875e-05
